"Hour","Load","SolarGen","WindGen","BatteryUsed","GridUsed","BatterySOC","SurplusToGrid"
"0","100.0","100.0","0.0","0.0","0.0","60.0","0.0"
"1","100.0","200.0","0.0","0.0","0.0","63.33333333333333","0.0"
"2","100.0","300.0","0.0","0.0","0.0","70.0","0.0"
"3","300.0","120.0","0.0","180.0","0.0","64.0","0.0"
"4","500.0","50.0","0.0","440.0","10.0","49.333333333333336","0.0"
"5","600.0","60.0","0.0","293.33333333333337","246.66666666666663","39.55555555555555","0.0"
"6","700.0","120.0","50.0","195.5555555555555","334.4444444444445","33.03703703703704","0.0"
"7","800.0","380.0","260.0","130.37037037037038","29.62962962962962","28.691358024691354","0.0"
"8","900.0","660.0","460.0","0.0","0.0","36.02469135802469","0.0"
"9","1000.0","750.0","610.0","0.0","0.0","48.02469135802469","0.0"
"10","600.0","1200.0","700.0","0.0","0.0","62.01646090534979","180.24691358024688"
"11","900.0","1290.0","740.0","0.0","0.0","71.3443072702332","110.16460905349788"
"12","900.0","1330.0","730.0","0.0","0.0","77.5628715134888","243.44307270233196"
"13","900.0","1290.0","670.0","0.0","0.0","81.70858100899254","265.628715134888"
"14","900.0","1130.0","550.0","0.0","0.0","84.47238733932836","147.08581008992542"
"15","900.0","860.0","380.0","0.0","0.0","86.31492489288557","284.7238733932836"
"16","900.0","490.0","170.0","240.0","0.0","78.31492489288557","0.0"
"17","900.0","100.0","0.0","583.1492489288557","216.85075107114426","58.87661659525705","0.0"
"18","900.0","140.0","0.0","388.7661659525704","371.2338340474296","45.91774439683803","0.0"
"19","800.0","130.0","0.0","259.1774439683803","410.8225560316197","37.2784962645587","0.0"
"20","900.0","180.0","0.0","172.78496264558697","547.215037354413","31.51899750970579","0.0"
"21","900.0","140.0","0.0","115.18997509705792","644.8100249029421","27.6793316731372","0.0"
"22","300.0","120.0","0.0","76.79331673137199","103.20668326862801","25.11955444875813","0.0"
"23","200.0","130.0","0.0","51.19554448758129","18.804455512418713","23.41303629917209","0.0"
